name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,score,score_breakdown,exclusion_reason,tier
TECH5,CHE,Geneva,71,vaccines,crustdata,IT System Operations and Maintenance / TECH5 is an international technology company founded by experts from the biometr,-1.3888888888888888% growth,http://tech5.ai,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Q-Pharm AG,DEU,Zörbig,~70,sterile_generics,research,"Sterile contract manufacturing (vials, ampoules)",,https://www.q-pharm.de,,3,industry=3/3 capability=0/2 size=0/2 trigger=0/2,,Tier 3
FAWEMA GmbH,DEU,Engelskirchen,69,vaccines,crustdata,"Machinery Manufacturing / FAWEMA is a globally recognized brand name for packaging machines, representing ",6.153846153846154% growth,http://www.fawema.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Konzelmann GmbH,DEU,Löchgau,69,vaccines,crustdata,Plastics Manufacturing / We show responsibility - trust us and secure your competitive advantage. Based o,6.153846153846154% growth,https://www.konzelmann.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Vétérinaires Sans Frontières Germany/ Tierärzte ohne Grenzen,DEU,Berlin,69,veterinary_pharma,crustdata,Non-profit Organizations / Healthy Animals - Healthy People - Healthy Environment VSF-Suisse fights hunger ,-6.756756756756757% growth,http://www.vsfg.org,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Hufschmied Zerspanungssysteme GmbH,DEU,Bobingen,68,vaccines,crustdata,Manufacturing / Hufschmied Zerspanungssysteme GmbH has over 30 years of experience in the develo,-4.225352112676056% growth,http://www.hufschmied.net,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
"Faculty of Veterinary Medicine, Alexandria University",DEU,Germany,67,veterinary_pharma,crustdata,"Higher Education / Faculty of Veterinary Medicine, Alexandria University is a higher education comp",6.349206349206349% growth,http://vetmed.au.alexu.edu.eg,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
PRIMES GmbH,DEU,Pfungstadt,67,vaccines,crustdata,Machinery Manufacturing / Competence in Beam DiagnosticsPRIMES develops and produces market leading system,0.0% growth,http://www.primes.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
BENZ Tooling,DEU,Gengenbach,66,vaccines,crustdata,Machinery Manufacturing / Specialist for CNC Aggregate TechnologyBENZ is a leading manufacturer and provid,0.0% growth,https://www.benztooling.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Institute of Virology and Immunology IVI,CHE,Köniz,66,"vaccines,veterinary_pharma",crustdata,Government Administration / The Institute of Virology and Immunology (IVI) is Switzerland’s reference labora,3.125% growth,https://www.ivi.admin.ch/ivi/de/home.html,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Kirsch Pharma GmbH,DEU,Salzgitter,66,veterinary_pharma,crustdata,Chemical Raw Materials Manufacturing / Kirsch Pharma has been a supplier of individual products in premium quality for ,15.789473684210526% growth,https://www.kirschpharma.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
NILES-SIMMONS-HEGENSCHEIDT GROUP,DEU,Chemnitz,66,vaccines,crustdata,Machinery Manufacturing / Quality & Innovation - The NILES-SIMMONS-HEGENSCHEIDT GroupNILES-SIMMONS-HEGENSC,8.19672131147541% growth,https://www.nshgroup.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
MHT Mold & Hotrunner Technology AG,DEU,Hochheim am Main,65,vaccines,crustdata,Machinery Manufacturing / We are specialists for everthing about preforms. As independent tool makers we p,6.557377049180328% growth,http://www.mht-ag.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Permamed,CHE,Therwil,~65,originator_pharma,research,"Dermatology, rheumatism, vein, sports injuries",Prix SVC Nordschweiz 2025 winner; growth investments,https://permamed.ch/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
VetZ GmbH,DEU,Isernhagen Farster Bauerschaft,65,veterinary_pharma,crustdata,"Veterinary Services / Seit Jahren zählen wir zu den führenden Anbietern von Praxismanagementsoftware, ",-1.5151515151515151% growth,https://www.vetz.vet/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Boom Software,AUT,Austria,64,vaccines,crustdata,"Software Development / Maintenance, a major part of today’s sustainable development of society and a ke",6.666666666666667% growth,https://www.boomsoftware.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Lamarr Institute,DEU,Dortmund,64,vaccines,crustdata,"Research / As an international AI center of excellence, the Lamarr Institute for Machine Le",10.344827586206897% growth,https://lamarr-institute.org/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Spanflug Technologies,DEU,Munich,64,vaccines,crustdata,Machinery Manufacturing / Spanflug Technologies GmbH is a Munich-based technology company and operator of ,28.000000000000004% growth,https://spanflug.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
TWINCORE GmbH,DEU,Hannover,64,academic_gmp,crustdata,"Research Services / In vielen Teilen der Welt konnten Infektionskrankheiten zurückgedrängt werden, b",1.5873015873015872% growth,https://www.twincore.de,,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
BURKHARDT+WEBER Fertigungssysteme GmbH,DEU,Reutlingen,63,vaccines,crustdata,"Machinery Manufacturing / Flexible machining centres for machining of complex steel, cast and titanium par",8.620689655172415% growth,http://burkhardt-weber.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
CONEC Elektronische Bauelemente GmbH,DEU,Lippstadt,63,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Die CONEC Elektronische Bauelemente GmbH ist ein leistungsfähiger Hersteller von",8.620689655172415% growth,http://www.conec.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Laubscher Precision AG,CHE,Täuffelen,63,vaccines,crustdata,"Fabricated Metal Products / Laubscher Precision AG, the leading manufacturer for turning parts with highest ",-3.076923076923077% growth,http://www.laubscher.swiss,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Codewerk,DEU,Karlsruhe,62,vaccines,crustdata,Software Development / Codewerk combines state-of-the-art technologies with in-depth industry knowledge,8.771929824561402% growth,https://www.codewerk.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
DN Solutions Europe,DEU,Dormagen,62,vaccines,crustdata,"Machinery Manufacturing / Since its founding in 1976, DN Solutions has established itself as a leading glo",29.166666666666668% growth,https://www.dn-solutions.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
EXAMION GmbH Human medicine,DEU,Fellbach,62,veterinary_pharma,crustdata,"Medical Equipment Manufacturing / Based in Germany, EXAMION is a specialised provider of solutions for digital rad",6.896551724137931% growth,https://www.examion.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
fruitcore robotics,DEU,Constance,62,vaccines,crustdata,"Automation Machinery Manufacturing / With the Industrial Robot Platform, fruitcore robotics offers all the building b",-3.125% growth,https://www.fruitcore-robotics.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
SwissFactory.Group AG,CHE,Neuenegg,62,vaccines,crustdata,Industrial Machinery Manufacturing / The SwissFactory.Group is an association of around ten innovative SMEs with comp,-7.462686567164178% growth,https://swissfactory.group,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
"Department of Clinical Research (DCR), University of Bern",CHE,Bern,61,academic_gmp,crustdata,Research Services / The Department of Clinical Research is your first point of contact when it comes,24.489795918367346% growth,https://www.dcr.unibe.ch,,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Leifeld Metal Spinning,DEU,Ahlen,61,vaccines,crustdata,"Machinery Manufacturing / Leifeld Metal Spinning GmbH develops, produces and distribute tooling machines f",10.909090909090908% growth,https://leifeldms.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
TVARIT,DEU,Frankfurt,61,vaccines,crustdata,"Software Development / We are a specialized Deep Tech company based in Frankfurt, Germany, and a provid",22.0% growth,http://www.tvarit.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
4th-IR,CHE,Lucerne,60,vaccines,crustdata,IT Services and IT Consulting / Fourth-IR was established in 2016 to lead the cognitive revolution with experts ,5.263157894736842% growth,http://4th-ir.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
EMS-CHEMIE (Business Unit EMS-GRILTECH),CHE,Domat,59,vaccines,crustdata,"Plastics Manufacturing / We manufacture and sell Grilon, Nexylon and Nexylene fibers, Griltex hotmelt adh",-1.6666666666666667% growth,http://www.emsgriltech.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Max Planck Foundation for International Peace and the Rule of Law,DEU,Heidelberg,59,academic_gmp,crustdata,Research Services / The Max Planck Foundation for International Peace and the Rule of Law provides a,-21.333333333333336% growth,https://www.mpfpr.de/,,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
Nuproxa Group,CHE,Étoy,59,veterinary_pharma,crustdata,"Veterinary Services / Nuproxa is a Swiss company founded in 2007, supplying high-quality solutions to ",-3.278688524590164% growth,http://www.nuproxa.ch,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Symanto,DEU,Nuremberg,59,vaccines,crustdata,"Software Development / Symanto is a pioneer in Human AI technology, specialising in psychology-based ar",-10.606060606060606% growth,http://www.symanto.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Tampoprint GmbH,DEU,Korntal,59,vaccines,crustdata,"Machinery Manufacturing / TAMPOPRINT GmbH, as German medium-sized mechanical engineering company, is an in",-7.8125% growth,http://www.tampoprint.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
ADS-TEC Industrial IT,DEU,Nurtingen,58,vaccines,crustdata,Computers and Electronics Manufacturing / We believe that a connected future can succeed when humans and machines interact,-7.936507936507936% growth,https://www.ads-tec-iit.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Data Reply DE,DEU,Munich,58,vaccines,crustdata,"Information Technology & Services / Data Reply, as part of the Reply Group, offers a wide range of services to help ",-1.694915254237288% growth,https://www.reply.com/data-reply/de/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
IDEAL-Werk C.+E. Jungeblodt GmbH + Co.KG,DEU,Lippstadt,58,vaccines,crustdata,"Machinery Manufacturing / Since its foundation in 1923, the name IDEAL has stood for continuous innovation",13.725490196078432% growth,http://www.ideal-werk.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
LAYERTEC,DEU,Frankendorf,58,vaccines,crustdata,Nanotechnology Research / LAYERTEC is your reliable partner for high-quality optical components and custom,-1.694915254237288% growth,https://www.layertec.de/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
MAE. Group,DEU,Erkrath,58,vaccines,crustdata,"Machinery Manufacturing / With machine solutions for manual straightening, automatic straightening, and pr",1.7543859649122806% growth,https://mae-group.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Pulsar Photonics GmbH,DEU,Aachen,58,vaccines,crustdata,Machinery Manufacturing / Pulsar Photonics - a schunk company The high-technology company Pulsar Photonics,1.7543859649122806% growth,https://www.pulsar-photonics.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
TVI Entwicklung und Produktion GmbH,DEU,Bruckmühl,58,vaccines,crustdata,"Machinery Manufacturing / TVI - A strong brand. From the very beginning.Whether it is steaks, cutlets, rou",0.0% growth,https://tvi-gmbh.de/en/we-are-tvi/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Baobab,DEU,Berlin,57,vaccines,crustdata,Insurance / Baobab Insurance protects small and medium businesses from cyber attacks through,58.333333333333336% growth,http://www.baobab.io,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Daetwyler Graphics,CHE,Oftringen,57,vaccines,crustdata,"Mechanical Or Industrial Engineering / Since 1965, the name Daetwyler has stood for innovative process solutions and si",0.0% growth,http://www.daetwyler-graphics.ch,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
SmartStep Consulting GmbH,DEU,Hamburg,57,vaccines,crustdata,"Business Consulting and Services / With over 15 years of proven expertise in Market Access, SmartStep provides high",0.0% growth,https://www.smartstep-consulting.de/en,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Terra One,DEU,Berlin,57,vaccines,crustdata,"Services for Renewable Energy / At Terra One, we are pioneers in driving Europe's transition to climate neutrali",32.55813953488372% growth,https://www.terra.one,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Carl Zeiss MES Solutions GmbH,DEU,Ulm,56,vaccines,crustdata,"Software Development / Whether building components for ""oneworld"" or ""Quality is Job 1"", GUARDUS MES is",-1.7543859649122806% growth,http://www.guardus-solutions.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Frequenz,DEU,Berlin,56,vaccines,crustdata,"Renewable Energy Semiconductor Manufacturing / Frequenz' autonomous mind platform revolutionizes the way the world manages, sto",-11.11111111111111% growth,https://www.frequenz.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Seal Maker,AUT,Pöttelsdorf,56,vaccines,crustdata,Machinery Manufacturing / Seal Maker is a global manufacturer of high-quality plastic and elastomer semi-f,0.0% growth,http://www.seal-maker.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Chromasens GmbH,DEU,Constance,55,vaccines,crustdata,Automation Machinery Manufacturing / Chromasens - The line scan experts.Chromasens is a global leader in high-perform,1.8518518518518516% growth,http://www.chromasens.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
FMD - Forschungsfabrik Mikroelektronik Deutschland,DEU,Berlin,55,academic_gmp,crustdata,Research Services / The Research Fab Microelectronics Germany (Forschungsfabrik Mikroelektronik Deut,22.22222222222222% growth,https://www.forschungsfabrik-mikroelektronik.de/,,3,industry=1/3 capability=1/2 size=0/2 trigger=1/2,,Tier 3
FS animal health,DEU,Wiehl,55,veterinary_pharma,crustdata,"Wholesale / FS Animal Health - We enable horses to live healthier, longer lives.Our portfoli",5.769230769230769% growth,http://www.fsah.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
InnoNature,DEU,Hamburg,55,veterinary_pharma,crustdata,Wellness and Fitness Services / Natural - Holistic - Pure 🌱✨InnoNature was launched in 2016 by our founding coup,-8.333333333333332% growth,http://innonature.eu,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Institute of Textile Machinery and High Performance Material Technology (ITM) at TU Dresden,DEU,Dresden,55,vaccines,crustdata,Research Services / The Institute of Textile Machinery and High Performance Material Technology (ITM,-15.384615384615385% growth,https://tu-dresden.de/ing/maschinenwesen/itm,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Stölzle Lausitz,DEU,Weisswasser,55,vaccines,crustdata,"Glass Product Manufacturing / We are a German glassware brand, which can trace our roots back more than 130 ye",27.906976744186046% growth,http://www.stoelzle-lausitz.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Dr. Eckel Animal Nutrition GmbH & Co. KG,DEU,Brenk,54,veterinary_pharma,crustdata,Farming / Dr. Eckel Animal Nutrition is all about innovative feed additives made in German,0.0% growth,http://www.dr-eckel.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
INVENT GmbH,DEU,Brunswick,54,vaccines,crustdata,Aviation and Aerospace Component Manufacturing / Shaping a sustainable future will call for hi-tech fibre composite products whic,-1.8181818181818181% growth,http://www.invent-gmbh.de,adc,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
TriLite Technologies,AUT,Vienna,54,vaccines,crustdata,Computers and Electronics Manufacturing / TriLite designs and builds the world’s smallest projection displays and ensures ,10.204081632653061% growth,http://www.trilite-tech.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Vogelsang Service Group,DEU,Bochum,54,vaccines,crustdata,"Machinery Manufacturing / WE KNOW WHAT YOU ARE TALKING ABOUTFor decades, maintenance, inspection and repai",5.88235294117647% growth,https://www.vogelsang.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
ROTHENBERGER Group,DEU,Kelkheim,53,vaccines,crustdata,Machinery Manufacturing / The ROTHENBERGER Group unites leading developers and manufacturers of pipe tools,10.416666666666668% growth,https://rothenberger.com/de-de/rothenberger-gruppe,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
sileno,CHE,Beringen,53,vaccines,crustdata,Automation Machinery Manufacturing / We are the specialists which convert the result of the complex connection betwee,12.76595744680851% growth,https://www.sileno.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
BIG DAISHOWA-Europe,CHE,Rümlang,52,vaccines,crustdata,"Machinery Manufacturing / BIG DAISHOWA Europe is part of the BIG DAISHOWA Group. Headquartered in Osaka, J",0.0% growth,https://www.bigdaishowa.eu,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Institute of Machine Tools and Production Technology (IWF),DEU,Brunswick,52,vaccines,crustdata,Education / We are the Institute of Machine Tools and Production Technology (Institut für We,0.0% growth,https://www.tu-braunschweig.de/en/iwf,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
ventopay gmbh,AUT,Hagenberg im Mühlkreis,52,vaccines,crustdata,"Software Development / As a leading manufacturer of complete digital solutions, ventopay inspires guest",8.333333333333332% growth,https://www.ventopay.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
RWTH Institute for Technology and Innovation Management (TIM),DEU,Aachen,51,vaccines,crustdata,Research Services / The Institute for Technology and Innovation Management at RWTH Aachen University,8.51063829787234% growth,http://time.rwth-aachen.de/tim,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Söhner Kunststofftechnik GmbH,DEU,Schwaigern,51,vaccines,crustdata,Packaging & Containers / Söhner Kunststofftechnik is the specialist for plastic deep-drawing technology. ,6.25% growth,https://www.soehner.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Avextra Pharma,DEU,Bensheim (Hesse),~50–80,medical_cannabis,research,Extractor + API/dronabinol manufacturer,"10 000 m² EU-GMP plant; expanded exports CH, AT, IT, UK 2023–25",https://avextra.com/en/ueber-avextra/ ; https://drug-dev.com/avextra-signs-distribution-agreements-with-pharmaceutical-partners…,,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
consider it GmbH,DEU,Hamburg,50,vaccines,crustdata,Business Consulting and Services / consider it GmbH was founded in 2010 as a technology and service company with tw,6.382978723404255% growth,https://www.consider-it.de/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
"C³ Cannabinoid Compound Co. (Canopy Growth, ex-Bionorica)",DEU,Frankfurt + Neumarkt,~50–80,medical_cannabis,research,Extractor + synthetic cannabinoid API (THC/CBD),Two GMP plants: natural extraction + synthetic dronabinol/CBD APIs,https://www.canopygrowth.com/investors/news-releases/canopy-growth-acquires-germanys-c3-cannabinoid-compound-company/,,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
DALOG Diagnosesysteme GmbH,DEU,Neuses,50,vaccines,crustdata,Mechanical Or Industrial Engineering / DALOG Diagnosesysteme GmbH provides online condition monitoring solutions for pr,11.11111111111111% growth,http://www.dalog.net,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Department Artificial Intelligence in Biomedical Engineering - AIBE@FAU,DEU,Erlangen,50,vaccines,crustdata,Research Services / The Department Artificial Intelligence in Biomedical Engineering (AIBE) was esta,11.11111111111111% growth,http://www.aibe.tf.fau.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Endoca BV / DE ops,DEU,Berlin (logistics),~50,medical_cannabis,research,"Formulation (CBD oils, suppositories, GMP extracts)",,https://www.endoca.com,,3,industry=2/3 capability=1/2 size=0/2 trigger=0/2,,Tier 3
EVYTRA GmbH,DEU,Villingen,50,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / EVYTRA is your reliable partner for human-machine interfaces (HMIs) & printed ci",2.0408163265306123% growth,http://www.evytra.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
SABO Mobile IT GmbH,DEU,Bühl,50,vaccines,crustdata,IT Services and IT Consulting / SABO Mobile IT GmbH stands for over 25 years of experience in leading competent ,19.047619047619047% growth,http://www.saboit.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Diction AG,CHE,Buchs (SG),49,vaccines,crustdata,Translation and Localization / Diction is a leading provider of multilingual content services. We combine AI‐dr,-14.035087719298245% growth,http://www.diction.ch,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
IPR Intelligente Peripherien für Roboter GmbH,DEU,Eppingen,49,vaccines,crustdata,"Automation Machinery Manufacturing / We develop, manufacture and sell automation components for assembly and handling",16.666666666666664% growth,https://www.iprworldwide.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Kemiex,CHE,Zurich,49,veterinary_pharma,crustdata,"Information Services / Kemiex, founded in Zurich in 2017, is an all-in-one market information, purchasi",8.88888888888889% growth,https://www.kemiex.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
SAUTER Feinmechanik GmbH – the leading manufacturer of tool turrets and equipping of machine tools,DEU,Metzingen,49,vaccines,crustdata,Machinery Manufacturing / SAUTER FEINMECHANIK ist der international führende Hersteller von Werkzeugrevolv,-9.25925925925926% growth,https://www.sauter-feinmechanik.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
anvajo,DEU,Dresden,48,veterinary_pharma,crustdata,"Medical Equipment Manufacturing / Anvajo GmbH, a spin-off diagnostic company from Dresden University of Technology",-17.24137931034483% growth,https://anvajo.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Bilz Werkzeugfabrik GmbH & Co. KG,DEU,Ruit,48,vaccines,crustdata,Machinery Manufacturing / BILZ WERKZEUGFABRIK GmbH & Co. KGBilz tool clamping systems are used worldwide i,-5.88235294117647% growth,https://www.bilz.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
FASTEC GmbH,DEU,Paderborn,48,vaccines,crustdata,"Information Technology & Services / FASTEC GmbH, based in Paderborn, employs more than 90 people. The leading provid",4.3478260869565215% growth,https://www.fastec.de/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Granzer Regulatory Consulting & Services GmbH,DEU,Munich,48,vaccines,crustdata,Business Consulting and Services / Granzer Regulatory Consulting & Services offers support in all phases of drug an,9.090909090909092% growth,http://www.granzer.biz,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
PetCom Tierernährung GmbH & Co. KG,DEU,Minden,48,veterinary_pharma,crustdata,Food and Beverage Manufacturing / Die PetCom ist ein leistungsstarker Produzent von Heimtierfutter im Private-Labe,2.127659574468085% growth,http://petcom.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
A.R.C. Laser GmbH,DEU,Nuremberg,47,veterinary_pharma,crustdata,"Medical Device / Founded in 1996, A.R.C. Laser GmbH is a family-owned business committed to advan",27.027027027027028% growth,https://www.arclaser.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Camozzi Automation GmbH,DEU,Albershausen,47,vaccines,crustdata,Automation Machinery Manufacturing / We - Camozzi Automation GmbH - are the German subsidiary of the internationally ,9.30232558139535% growth,https://de.automation.camozzi.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
LNS GROUP - LNS MANAGEMENT,CHE,Orvin,47,vaccines,crustdata,Machinery Manufacturing / LNS brings over 45 years of proven experience to its role as your One-Stop-Shop ,6.8181818181818175% growth,http://www.lns-group.com/,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Sarix SA,CHE,Sant'Antonino,47,vaccines,crustdata,Machinery Manufacturing / At SARIX SA our mission is to deliver machining solutions for high precision and,0.0% growth,,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
CNC24,DEU,Berlin,46,vaccines,crustdata,Machinery Manufacturing / CNC24 is your partner for all metal and plastic components. Your advantages at a,-6.122448979591836% growth,https://www.cnc24.com?utm_source=linkedin&utm_medium=social&utm_campaign=linkedin-profil,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Erwin Halder KG,DEU,Achstetten,46,vaccines,crustdata,"Mechanical Or Industrial Engineering / Our hearts beat for the little things – things often unseen, but always indispen",6.976744186046512% growth,https://www.halder.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Marry Jane AG,CHE,Breitenbach,46,medical_cannabis,crustdata,Alternative Medicine / Marry Jane is one of the first and leading players in the emerging European cann,27.77777777777778% growth,https://marryjane.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Sinto AGTOS GmbH,DEU,Emsdetten,46,vaccines,crustdata,Machinery Manufacturing / AGTOS was founded in 2001 à Emsdetten by experienced specialists from the shot b,12.195121951219512% growth,http://www.agtos.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
VDW (German Machine Tool Builders' Association),DEU,Frankfurt,46,vaccines,crustdata,"Machinery Manufacturing / The VDW, headquartered in Frankfurt am Main, Germany, speaks for the German mach",2.2222222222222223% growth,http://www.vdw.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
CVUA Freiburg,DEU,Freiburg,45,veterinary_pharma,crustdata,Government Administration / Beim CVUA Freiburg sind über 200 Mitarbeiter und Mitarbeiterinnen beschäftigt.,0.0% growth,www.cvua-freiburg.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
EW Group GmbH,DEU,Visbek,45,veterinary_pharma,crustdata, / EW Group is a global family owned holding with subsidaries and participations in,12.5% growth,http://www.ew-group.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
POG Precision Optics Gera,DEU,Schmölln,45,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / We as POG are specialized in the production of customized optics and accompany y",15.384615384615385% growth,http://www.pog.eu,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
Spectra GmbH & Co. KG,DEU,Reutlingen,45,vaccines,crustdata,Computer Hardware Manufacturing / Spectra is an owner-managed company in the field of industrial PC and automation,12.5% growth,https://www.spectra.de,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
E. DOLD & Söhne GmbH & Co. KG,DEU,Furtwangen,44,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / E. Dold & Söhne GmbH & Co. KG - Solutions for safe automationDOLD is an internat",4.761904761904762% growth,https://www.dold.com,,3,industry=2/3 capability=0/2 size=0/2 trigger=1/2,,Tier 3
