person_name,title,seniority,years_at_company,company,company_linkedin_id,person_linkedin_url,location,headline
Brittany D.,Executive Assistant to VP of Operations,Vice President,7,,18763,https://www.linkedin.com/in/ACoAAAsye_8Bjn6XANobjuk2T6OesxrCgblklmI,,Amazon
Sean Nguyen,"Vice President, Quality Assurance  & Application Security Engineering",Vice President,2,,18763,https://www.linkedin.com/in/ACoAAABcxUEB5sTnDgSuQPxFLrhshZm0r9C7srM,,Quality Assurance and Application Security Engineering Leader
Arvind Sethuraman,"Vice President, Product & Engineering - Retail Payments",Vice President,4,,10355561,https://www.linkedin.com/in/ACoAAAylakUBgFjRgn7GAGyyCG1SBlbhm4qR-IM,,"Vice President, Product & Engineering @Zeta - Retail Payments"
Max Sommers,"Vice President, Director of Internal Operations",Vice President,0,,27001465,https://www.linkedin.com/in/ACoAAEd08B4BditX8fYjJIP3_Qz8figiXHo0Vl8,,Honors Accounting Student - Santa Clara University Leavey School of Business
Michael Nguyen,Vice President Operations,Vice President,1,,27001465,https://www.linkedin.com/in/ACoAAEzt9cgBPV6El8ICV5VtSTrWHAArUiVxev0,,Junior PreMed and Neuroscience student and the University of Massachusetts Amherst
Michael Perry,Vice President Operations,Vice President,0,,27001465,https://www.linkedin.com/in/ACoAAFMRbUwBOBbjWtYNAsvJSs8xBSgMW5psao8,,Mechanical Engineering Student ’28 Florida State University
Kyle Dubois,Vice President/Operations Director,Vice President,0,,27001465,https://www.linkedin.com/in/ACoAAEUhAXgBFkh8d4phJhEdf6kQHKpuUjKxTzI,,"Sophomore, Biochemistry (BS) and Business Communications (BA)"
"Joshua Muscat, MBA",Vice President of Operations,Vice President,0,,150469,https://www.linkedin.com/in/ACoAABWeFLQB_Aw37FiqJrK632mVvHEN8QpNuQs,,"Vice President of Operations | Strategic Leadership, Growth & Engagement in Global Nonprofits"
JJ B.,VP of Operations,Vice President,2,,90764179,https://www.linkedin.com/in/ACoAAAImU1EB8JYpb6YWnT7cr6dNHQoST9Ogr2s,,"Director of Operations, Zeta Bravo"
Thomas Finney,Assistant VP of Chapter Operations,Vice President,1,,94271132,https://www.linkedin.com/in/ACoAAD31K3cBSWiP6pTigBL62uf9jrG84ot_a2Y,,Business Economics Major - Florida Atlantic University
Haley Blair,Vice President Facility Operations,Vice President,1,,6878875,https://www.linkedin.com/in/ACoAAFMz7AUBoWcOZTHxE1lgCq0P0oeSHdwWHCg,,"Communications Major at the University of Rhode Island College of Arts and Sciences;
Vice President Facility Operations "
Jordan Fishman,Vice President Operations,Vice President,6,,10821417,https://www.linkedin.com/in/ACoAAC9uexABF-T1FdopkMwisOcFtTwvq_vdXTg,,Vice President of Operations
Ruth Finerty Basanta,"Associate Vice President, AI Operations",Vice President,0,,18763,https://www.linkedin.com/in/ACoAAAEAeKoBOnxwflgvloMtQyVe8qkVnM5q9HA,,Enterprise SaaS | Enablement & Strategy Leader | Business Transformation & Operational Excellence
Kym Kulle,"VP, Product Operations",Vice President,0,,18763,https://www.linkedin.com/in/ACoAAAAyyT8Bub71SzgqJqN8JJCwjDiPDyLnkfQ,,Strategic Business & Product Operations Leader | Chief of Staff Partner | Driving SaaS Scale through Cross-Functional Ex
Karla Daniela De anda flores,VP Operations,Vice President,0,,974064,https://www.linkedin.com/in/ACoAABnk65oBGyUHyxPNfCoqjX3QrqWGbCV1ZHg,,VP Operations en Siegfried Rhein México
pragnesh mehta,Head of Manufacturing,Director,0,,14412375,https://www.linkedin.com/in/ACoAAAY2RlIBp4Rx3R8dtQTuImjTBYKnjsswB3I,,"Working as Head -Manufacturing at Oneiro Lifecare (p) Ltd, Vadodara"
Daniel Gartenhaus,Director,Director,15,,2023502,https://www.linkedin.com/in/ACoAAABeNGcB1BaFr9pyLsrXFGal9740cPM3Isk,,Senior Executive | Global Experience | Pharmaceutical | Rare Diseases | Diagnostic | Life Sciences Consultant | Non-Prof
Pankti Dalal,General Manager,Director,6,,114863,https://www.linkedin.com/in/ACoAAAEBNXUBI7QN5sYhDe-QgBRzFX9a522LDWE,,Director Business Finance
Jens Mantwill,Head of Production,Director,3,,,https://www.linkedin.com/in/ACoAAEAnvlEBQK3nOwgN3MSloXgEIVc10xBn9J0,,Head of Production
"Dharmrajsinh Rana, Ph.D., PMP®",General Manager Project Management,Director,1,,114863,https://www.linkedin.com/in/ACoAABn8gLMBYy2oi3L65KSVUcVyeIFquFF1Ybs,,General Manager – Project Management | CDMO & CMO Expert | CMC | NCE | HPAPI | API & Intermediates | Soft Gel Formulatio
"Abdo Jaber, MBA, PMP",Regional Director of Engineering,Director,4,,,https://www.linkedin.com/in/ACoAAAJpNfQBKonguwD8mzaFOb2t8Pem3p5E2tg,,"Regional Director,  Engineering"
Sauhil Bhattia,Director Of Operations,Director,11,,13401248,https://www.linkedin.com/in/ACoAAAU7BhoBoj38qo0Yx7xW3lFUTk_FemZG0Rc,,"Director @ Hindustan Biosynth Ltd - Formulation & Exporting Premium quality Nutraceuticals, Herbal Medicines, & Ready-to"
saleem shaikh,General Manager,Director,5,,114863,https://www.linkedin.com/in/ACoAAAbG0pMBnFJ2GV6HwjutsR4_uVO61p939KQ,,Marketing Specialist  -Dishman Group
Katipally Vittal,General Manager – Quality Control (API & Soft Gelatin Formulation),Director,1,,114863,https://www.linkedin.com/in/ACoAAAMZBkUBwkSd2r9LTzv5jng2LpcsgJAlS4o,,Quality professional in Pharmaceutical field | QC | QA | QUALITY
JAIPAL SINGH,Senior General manager API/HIPO API MANUFACTURING,Director,15,,114863,https://www.linkedin.com/in/ACoAAASf9wsBcWYAACfcmiJC-YontwFLnJtQNbc,,"Sr.General Manager- HIPO-API Production, Dishman Carbogen Amcis Ltd, Ahmedabad."
Branislav Vukovic,Global Head of Engineering,Director,0,,,https://www.linkedin.com/in/ACoAAB2zwUkBR1wOdjmRCu-bu62EEXrh1pQG-dw,,Global Head of Engineering
Gopalkrishna Patil,Deputy General Manager - Formulation & Development,Director,15,,1526199,https://www.linkedin.com/in/ACoAAANn144BtpG_17tt0iIuwIp-8ct5PtqHyog,,Deputy General Manager - Formulation & Development
Denish Shah,Sr. General Manager- R&D,Director,29,,114863,https://www.linkedin.com/in/ACoAAAMm2HMBMU_TVTxJPIxLhxfsoXXhQ9WzOkQ,,Dishman Carbogen Amcis Ltd.
Patel Unnati Patel,Assistant General Manager,Director,0,,10372022,https://www.linkedin.com/in/ACoAAFR-b88BwygnrbXNnChBctALTjXxk3EF2-U,,--
Lavina Rochlani,Assistant General Manager,Director,0,,114863,https://www.linkedin.com/in/ACoAAA4J1ssBiy3b9-HL_xfW5voVTo6cMK7s1hQ,,AGM Market Intelligence| Pharma API &CDMO Insights | API & CDMO Industry Trends & Strategy | Translating Pharma Trends i
Sébastien Aubert,Qualified Person / Quality Director,Director,8,,,https://www.linkedin.com/in/ACoAAABL_3kBiVjwHt8cHkf4fKeqcT9VY9moYPU,,Qualified Person / Quality Director at Adragos Pharma Livron (HP Livron)
Yugandhar Raju,Assistant General Manager-QC,Director,0,,,https://www.linkedin.com/in/ACoAABAy2B8Bl2KK2m1iDV7yC0FLnc6rclJxRq4,,"Assistant General Manager QC, PharmaZell (India) Pvt. Ltd."
Mahesh Panchal,General Manager,Director,18,,114863,https://www.linkedin.com/in/ACoAAAeJQGgBiSn8HCs4tzaOr7Fm60ZMh2geG2A,,--
BhanuPratap Singh,Assistant General Manager,Director,8,,114863,https://www.linkedin.com/in/ACoAABLpW2oB4cMfShyHPm8NDQl27SfQy9VefJY,,Assistant General Manager
Kyle Steiger,General Manager,Director,1,,94095744,https://www.linkedin.com/in/ACoAAATOMSYBaqsmjNsB1UcIGHswm-778tvySi4,,General Manager - Idorsia Canada
Prafulla Padhy,Head (General Manager)-Supply Chain,Director,3,,,https://www.linkedin.com/in/ACoAAANB6PkBn0PPx8KUgnelrLFkbW5MmxwyX30,,"Head-Supply Chain, Ex-Eisai, Ex-Baxter"
Hector Gonzalez,Site Head,Director,1,,10809,https://www.linkedin.com/in/ACoAAA3IbcABtJyEJ6DMSTU04rCrk9uepr6fiM4,,Currently Retired
Dan Steeves,Director Of Operations,Director,25,,10809,https://www.linkedin.com/in/ACoAAAOaSagBMpQU0rSzhAW8BSPVEg4pDx9ebb4,,--
Kristen Black,"Senior Director, Compliance Operations & Monitoring",Director,2,,10809,https://www.linkedin.com/in/ACoAAA1fpgABV6UnK9T9VlJT1sEGYjEb-iCyI_o,,"Senior Director, Compliance Operations & Monitoring"
Katrin Witschital,Head of Test Facility / Technical Management ISO 17025,Director,0,,,https://www.linkedin.com/in/ACoAAAQSzXsBWlgPKTTb7jZT81I4zVz9QYZwpX8,,Eurofins Medical Device Testing Munich GmbH
Lei Yuan,"Executive Director, General Manager",Director,8,,,https://www.linkedin.com/in/ACoAABOULbEBQY7Yw_PfprcyugqfFcctKxDRtTk,,"Executive Director, General Manager at Idorsia (Shanghai) Pharmaceuticals Ltd."
Petra Schlösser,General Manager,Director,7,,,https://www.linkedin.com/in/ACoAAAYyOuUBLnwr1t6pM81AvAm-RPWRtBwwPl4,,Unternehmensinhaberin Pharmaconsulting
EJ Alston,Site Head and Plant Manager,Director,0,,10809,https://www.linkedin.com/in/ACoAAAC1mZcB8CsVrvbYSXMCwVE-6nuIX9ZOTFU,,Plant Manager and Site Head
Ray Bullard,Director of Manufacturing Operations,Director,0,,10809,https://www.linkedin.com/in/ACoAAAGW2-EBPuHHVkfyzZ10GYbCgDdstfirsmw,,Professional Manager & Team Builder
Edo Kuntzsch,Head of Process Engineering,Director,13,,12499900,https://www.linkedin.com/in/ACoAAD_v3coBYaD6nrQ16Rc5yo6ZvF4xBj1Fxk8,,Keep it simple
Luiz Roque Neto,Site Head Fresenius-Kabi - Grand Island,Director,0,,10809,https://www.linkedin.com/in/ACoAAAFU3P8BIBNK0o6cra_dp7rVVZYHqHC8ZRY,,Site Head
Hans-Christian Meyer,Head of Advanced Manufacturing Operations,Director,2,,7442561,https://www.linkedin.com/in/ACoAABvw8iUBQow8tIW6OYWJEcWEwNLiJ3EGscI,,"Bio- Pharmacurical Industry expert;  Manufacturing and Supply Chain specialist , strategic thinker,  agile/ lean managem"
Catherine C.,General Manager,Director,4,,,https://www.linkedin.com/in/ACoAAAPU3m0BR48bH2DY48InQ4JS728Zt0ectUE,,General Manager chez Dr. Falk Pharma  SAS
Miguel Pereira Gonçalves,General Manager,Director,8,,,https://www.linkedin.com/in/ACoAACQTxTwBAaEjFjQIq6Sbcq1vdQTPpFnkWn8,,General Manager en Dr. Falk Pharma Iberia
Tjarda Kasteel,General Manager Benelux,Director,0,,9325744,https://www.linkedin.com/in/ACoAAAPizFoBFK2SjhWEaaOpIG4K7PPUOmH6b7Y,,"Biotech Commercial Executive, Entrepreneur, General Manager,  Country Manager, Cell & Gene Therapy, Rare Diseases, Hemat"
Henrique Cortez,Plant & Operations Director,Director,9,,74949425,https://www.linkedin.com/in/ACoAAAPYjp4BC6jwiDaihhL5Fpy3Enw5HwnDhRY,,Plant & Operations Director - PU Aquiraz | Fresenius Kabi
Cynthia (Cindy) Dwyer,"Director, US Third Party Manufacturing and Supply Chain Quality",Director,6,,10809,https://www.linkedin.com/in/ACoAAADYFJsBKSzfI1Kg7FZnjSgij555KeEZLUE,,"Director, US Third Party Manufacturing and US Supply Chain Quality"
Amit Patel,"Director, Systems Engineering",Director,10,,10809,https://www.linkedin.com/in/ACoAAACOY7gBQZ2rB_Hlj_HwqKJoia5VofyG2Lc,,Systems Engineering of Medical Devices
"Prokopi Verros, MBA",Director - Plant Controlling,Director,0,,10809,https://www.linkedin.com/in/ACoAAA5gdNAB6jdJZH0NhfXbrjBmL144zYqeVfk,,Director - Plant Controlling - Fresenius Kabi USA
Daniel Nosal,Director of Engineering and Maintenance,Director,0,,10809,https://www.linkedin.com/in/ACoAAAEDO5cB-IsRPsOua7KIwFfXBo6LUrlOrGE,,Director of Engineering and Maintenance
Achour Chiheb,General Manager,Director,10,,,https://www.linkedin.com/in/ACoAAAdIqRgBJVYoAXJRkkZur9BUSHrNIOFQldg,,General Manager chez Ever Care Pharma & Ever Care Labbs
Adam Smith,"Director, Biologics Manufacturing",Director,3,,18067478,https://www.linkedin.com/in/ACoAAABFG9cB9NeqI81eYwDQ_3wUfKnXmGisoF0,,"Senior CMC & MSAT Leader | Pharmaceuticals, Biologics & Advanced Therapies | 8 Global Launches | Scaling Manufacturing f"
Francesco D' Angeli,Head Of Engineering,Director,2,,952511,https://www.linkedin.com/in/ACoAABQHUaMB0dXxjZ6mD2f2syBSphqr3WqbfZ8,,Head Of Engineering presso Galenica Senese
Claudia Herzog,Senior Director of Engineering,Director,1,,76554050,https://www.linkedin.com/in/ACoAAB-4RHABvanauS-q9U5xxdCjWhmMXRWGa1I,,Senior Director Engineering
James Akstulewicz,Senior Director Engineering Services,Director,3,,10809,https://www.linkedin.com/in/ACoAABBk3QABEdJJD1cOGgXyrVimxE7nluJfkPg,,"Sr. Director, Fresenius Kabi"
Nomasango Ida Motlhasedi,Associate Director Quality Assurance,Director,1,,10809,https://www.linkedin.com/in/ACoAAAY-I0sBrzIgmgsszOn82q5BN36G41H8z-s,,BPharm | MBA | Director | Operations | Quality | Sterile Pharmaceutical Manufacturing
Stanislav Šust,Head of production SFP,Director,6,,,https://www.linkedin.com/in/ACoAABJTFLcB9rALf77z1D-I-YVCe2N5fs3TrOQ,,Head of Production SFP ve společnosti Fresenius Kabi
Sandie Saunier,"Director Quality Operations, Development Programs & LCM",Director,1,,94060906,https://www.linkedin.com/in/ACoAAA2-ObkBlbmnFkyb57bTwf4Px2NFKoN-_tM,,Director Quality Operations
Matthias Wurzenrainer,P&O (HR) Operations Associate Director Germany & Switzerland,Director,1,,,https://www.linkedin.com/in/ACoAAAgLWdUBRdtfM74ZN-MdATN2qPfa1GE5Uyo,,P&O (HR) Operations Associate Director Germany & Switzerland
Bernd Wolke,Head Engineering,Director,8,,,https://www.linkedin.com/in/ACoAACDPccMBpo9lxQn6fBSTJdRpq8yskSipJ8M,,Head Engineering bei Sandoz Deutschland / Hexal AG
Jesus Martin del Campo,Senior Director Plant Operations,Director,9,,27166172,https://www.linkedin.com/in/ACoAAAigyDUB79FB0Ss2ce_lIiA5VeCG32TZ2MU,,Specialized Consultant and Operations Executive Leader
Stefanie Schweighofer,Quality Assurance - Head of Quality Operations,Director,2,,76554050,https://www.linkedin.com/in/ACoAABvfv7EBmeyHKIRfRL97C5qP8vQ2k_rl1zg,,Quality Assurance - Head of Quality Operations
Beate Winkler,Head of Engineering & Technology,Director,3,,76554050,https://www.linkedin.com/in/ACoAACKi6q8BlL3NTbvp8bfXweepltb20-5_v_4,,Head of Engineering & Technology | Fresenius Kabi | passionate leader striving for transformation of organizations and p
Stefan Frederick,Associate Director - Manufacturing Sciences and Technology,Director,2,,10809,https://www.linkedin.com/in/ACoAAD6rhPgBzdDoRz3RF3mjb1w-B7V7a3Lspp0,,--
Michael Mayr,General Manager Fresenius Kabi Austria GmbH,Director,3,,76554050,https://www.linkedin.com/in/ACoAAAEiTPsBsRfR0TOKiqVLRwQtrwXTmrJgPNM,,Managing Director Austria & Switzerland @ Fresenius Kabi
Ioustini Michail,Production Director,Director,3,,1784450,https://www.linkedin.com/in/ACoAAA85i1MBb1w-CDW2JeSh1VnxYm_n7QvgmfU,,Production Director
Nitin Kothawade,Deputy General Manager,Director,4,,,https://www.linkedin.com/in/ACoAAAOJk4sByu_5s-nGmRdubNmJEcQIf16_gNI,,Deputy General Manager-Vigilance and Quality Fresenius Kabi India Pvt. Ltd.India
Kristina Opitz,Management Assistant General Manager & Internal Communication,Director,2,,76554050,https://www.linkedin.com/in/ACoAAEPjE3IBFvkjr7MLImpDRT39oCxhpPLxEsE,,Communication & Mediadesign | Sociology | Digital Marketing Management
Lukas Koller,Head of Process Engineering & Operational Excellence,Director,2,,76554050,https://www.linkedin.com/in/ACoAACHNXpABubdfYfI5ju2lLwB7-TS4lGdNk8k,,Head of Process Engineering & Operational Excellence
Jörg Windberg,IT Technology Services Site Lead,Director,3,,,https://www.linkedin.com/in/ACoAADgbJ6EBUvqxm1vYXEmA6ST63BLxqkDmHsM,,IT in Medizin/Pharma-Branche
严 波,General Manager,Director,0,,,https://www.linkedin.com/in/ACoAADuSDyABs32icuSoLeOxvBt1Y-7bsPnaUU4,,1. Fresenius Kabi Medical device  QARA Director 15 years work experience.  2. General Manager Kelun Medical device 3 yea
Jiřina Benešová,Director Production Department,Director,11,,,https://www.linkedin.com/in/ACoAABWoKscBPQ1B8m9Es5dIbid53dODx-L0QvE,,Director Production Department ve společnosti Fresenius Kabi
Stefan Georg Czvitkovich,"Senior Director, Third Party Manufacturing SBS",Director,1,,104314502,https://www.linkedin.com/in/ACoAAASO09MBhBuXof2dp-x-Kdrn7mUZ0K_BgdU,,Business-minded personality in the pharmaceutical contract / third party manufacturing space for injectable drug product
Leon Koo,General Manager,Director,8,,77703116,https://www.linkedin.com/in/ACoAAAoBIPIBW5VZY0IooYPBHQGtymfSztxdKVg,,General Manager @ Fresenius Kabi | Strategic Business Development | Business Operations | Talent Development
Dominik Polterauer,Deputy Head of Manufacturing (aseptic PFS filling),Director,0,,76554050,https://www.linkedin.com/in/ACoAADCaez4Br9NfiXliiCFhXOESIkLZYttNcRs,,Quality Engineer with a background in continuous flow synthesis
Dr. Daniel Fallscheer,General Manager Germany & ExCom Member,Director,1,,69772024,https://www.linkedin.com/in/ACoAAAdOTf8BOKbwKvQfouFcHGp7n4p-jvTBVzk,,Healthtech Entrepreneur | Founder & CEO | Angel Investor
Jason Flores,Sr. Director - Strategic Programs,Director,0,,6593,https://www.linkedin.com/in/ACoAAAOyJosB_zHI3Y_xxYtaZXkTZleLk14wu-A,,"Senior Director | Ex-Amazon | Co-Founder, President | Entrepreneur | Coach | Author | Keynote Speaker | Magic Maker"
Tony Scicchitano,"Director, Engineering & Maintenance",Director,2,,72516576,https://www.linkedin.com/in/ACoAAA33Uk8B-E4X31fWtpCbNSpsW23PC2oxav8,,"Director, Engineering & Maintenance @ Resilience | Chemical Engineer"
"Judson Dressler, PhD","Director, Resilience Risk Operations Center",Director,0,,33317533,https://www.linkedin.com/in/ACoAABPSczYBATGCQuSgVSuj5kOCVsqIWHlBcyo,,Senior Cybersecurity and Information Technology Executive | Proven Leader | Strategist | Creative Problem Solver | Team 
Peter J. Gutierrez,Director of Operations,Director,1,,,https://www.linkedin.com/in/ACoAACFPpYYB38QMgeqUUN42BD2TTNfFBYZJVjU,,Financial Service Professional I Project Management I Corporate Wellness I Yoga Instructor
Ashok Renukappa,Director Software Engineering,Director,0,,33317533,https://www.linkedin.com/in/ACoAAADuOCgBlrHyuz80usSu-Lsq0zL2Kb5jhzQ,,Senior Engineering Leader - Java | Typescript | React | AWS | Docker | Kubernetes | Elasticsearch | Terraform
Rachel Martinez,Director Of Business Operations,Director,4,,33317533,https://www.linkedin.com/in/ACoAAAKwZXIBBZziKDVn52zeHG9aXnoPoh32-ww,,Director of Business Operations
"Aziz Sanon, MBA",General Manager,Director,6,,,https://www.linkedin.com/in/ACoAABYARfoBpJYrzh8L_JmSJqQs2YF0T9rrcTc,,Regional Financial Controller - Francophone Africa - Finance Transformation - Mining&Metals - Chemical - Financial Servi
Jesus (Jesse) Ayala,Sr. Site Director,Director,10,,,https://www.linkedin.com/in/ACoAAAIRXegBjQbSKjIxSyGayt9EfWRjwQsJ1Ns,,Sr. Site Director for Mountain View CA
Sophie Weber,Head of Quality Assurance in Operations,Director,1,,9132471,https://www.linkedin.com/in/ACoAABP67q0B_-upfu_anbxGDLpqXJKjdp8bEyM,,Head of Quality Assurance in Operations
Hervé Schmitt,Head of Production Unit : Fractionation Department,Director,1,,9132471,https://www.linkedin.com/in/ACoAAB30dAEBhHuhWVgTshYuPOVc8mQlLdKzhOQ,,Head of Production Unit : Basic Fractionation
Yann Provost,Production Director,Director,4,,9132471,https://www.linkedin.com/in/ACoAAA5LZIwBsMxUiLGr_dLEgTpP13XL8qkqHh4,,Production Director - Octapharma SAS
Raphaël Archis,Plant manager / General Manager,Director,3,,9132471,https://www.linkedin.com/in/ACoAAAppdakBT9ytDR6cX_BmO6bnRksDqOz9g-0,,Supply chain manager
Sandra Kneisel,Head of Production Services,Director,7,,,https://www.linkedin.com/in/ACoAAAUv5PcBtSuNqZbU-jyBBN_n2U3bt5xbO6U,,Head of Production Service
Dr. Matthias Sobel,Head of Production | Losan Pharma GmbH,Director,15,,,https://www.linkedin.com/in/ACoAAAK6vKMBztGzmW1ZMA_cEsuNlHa9YlSQ1yA,,Head of Production
Eniola K.,Assistant Director (Prog. Operations Team Member),Director,3,,,https://www.linkedin.com/in/ACoAAATCYFIBKrx3JIUdw-IVgLJfLTB4D1H0fBM,,| Programme Management| Social Protection| Communication| Policy Analysis| Administration| Stakeholder Engagement
Mats Karlsson,Head of Facility and Utility,Director,1,,10658449,https://www.linkedin.com/in/ACoAAAGz7s4BLUVH48_fatMLXFcygUk192AGgO4,,Ansvarig för fastighetsunderhåll och mediaproduktion på Octapharma.
Wangko Lundström,Head of Production Support - Liquids,Director,3,,10658449,https://www.linkedin.com/in/ACoAAAr9ERsBn4Z6jZ0wCWiDXRHhqqI_YHAdR3c,,Head of Production Support - Liquids
Tony Kiczula,Center Director / Associate Regional Director of Operations,Director,6,,570106,https://www.linkedin.com/in/ACoAAAdHcUkBFKMEfSJy5JEUyBrXwqmTuWjq1sw,,Center Director | MBA
Cynthia Boyd,Sr. Regional Director of Operations,Director,4,,570106,https://www.linkedin.com/in/ACoAAB_elR4BVhmDdqlqzD4M6Izviw9WbkTo_SI,,Sr. Regional Director Of Operations
Shatasha L.,Associate Regional Director of Operations,Director,2,,570106,https://www.linkedin.com/in/ACoAAASzGkcBiUfXT9HrcTqcyukyzxUdkmiunRQ,,Constant success demands constant change.
Laine Linden,Head of Technical Operations,Director,3,,81619341,https://www.linkedin.com/in/ACoAAADjkbgBRlav5wbGpLpT-xNFZraUAu1ZNM8,,Executive Leader Biotech | Advisory Board Member | Technical Operations
Jeff Wolf,"Director, Manufacturing & Process Execution",Director,1,,72516576,https://www.linkedin.com/in/ACoAAADB3jwBfztbGsUksTLHuz05VW75rjVaf9Q,,Experienced Engineering & Operations Leader
Angie Pettinger,Director of Facilities and Engineering,Director,1,,72516576,https://www.linkedin.com/in/ACoAAAHGOBwBkKEeKhDMp4XKpDbnhj5Tzvl5qeI,,Director of Facilities and Engineering
Sonia Sharma,"Director, Head of Business Operations, Technical Operations ",Director,5,,72516576,https://www.linkedin.com/in/ACoAAAD-ePoBIhkU6ZKLh2JnZbHCpiWz4KjvSCI,,"Director, Business Operations, Technical Operations"
Shashank Kadam,Head of Digital Compliance Operations,Director,4,,72516576,https://www.linkedin.com/in/ACoAAAA1VcwBRi6KB0aK4nVcHHF9a1XQ8CNq51g,,Head of Digital Compliance Operations
"John Eppley III, MBA, P.E., PMP, CSCP","Site Head, PHL Cell Therapy",Director,0,,72516576,https://www.linkedin.com/in/ACoAABG0tUQB1-fNHfDVvPYP2yvdm-Y27PtL8o0,,"Site Head, PHL Cell Therapy"
James O'Hara,"Director, Manufacturing and Process Execution",Director,2,,72516576,https://www.linkedin.com/in/ACoAABeSRVkBd2bgvapshhzBHvzGO85IC46BVJQ,,Sr Director - Manufacturing and Process Execution
Kyle Wessling,Associate Director Manufacturing,Director,5,,72516576,https://www.linkedin.com/in/ACoAAAPVmBIBik4kqD7Vi1DIfr6bGHqMKatceqY,,Associate Director Manufacturing
Eric Van Zeebroeck,Digital Site Head,Director,3,,72516576,https://www.linkedin.com/in/ACoAAAGKYo8BWHlv5O_z-Wav07afA3wyXcIxroE,,Digital Site Head
Almodovar Roberto,Sr. Director and Site Head,Director,1,,72516576,https://www.linkedin.com/in/ACoAAADl0sEBpqWc_LuyWyxfXQobmj9YRwAhEG4,,Biopharma Professional
Jeremy Kamm,Director of Operations,Director,1,,72516576,https://www.linkedin.com/in/ACoAABkjESAB3kCXkXCM1imke24mLP9rf69q56M,,"Director of Sterile Operations, National Resilience"
Charles Antwi,"Digital Site Head, RBI",Director,11,,72516576,https://www.linkedin.com/in/ACoAAA_HhqEB3Ci25-g5JveqqfQxGxRD6abCnUc,,Founder of Back2Black Mobile
Liliana P. Medina,Site Quality Head,Director,3,,72516576,https://www.linkedin.com/in/ACoAAAIOc2gBbCm4MsofDeAgUA3W_ph1xT0tEak,,Site Quality Head
Jason G.,Digital Site Head,Director,2,,72516576,https://www.linkedin.com/in/ACoAAAJF1N4B39ntVjhHd64_-fG05PfrfHorYNE,,Global Manufacturing Systems Lead & Digital Site Head
✵Vinh Lam,"Senior Director of Quality, Site Quality Head",Director,1,,72516576,https://www.linkedin.com/in/ACoAAAFfakYBUOuLrxEns7qHlomzDF3o-QIQ79I,,明天会更好
Magdalena Tham Lindell,Head of Humanitarian Operations,Director,0,,,https://www.linkedin.com/in/ACoAAAeJ1y8BEhoo5DSAvDAYANghJ264PbcKbfU,,"Head of Humanitarian Operations, Swedish Civil Defence and Resilience Agency"
Philipp Hofstätter,Head of Engineering,Director,0,,100249019,https://www.linkedin.com/in/ACoAACnMpscBvijVLqw8IfP7b3LNmyAtaRs9ueA,,Head of Engineering @ Octapharma Austria
Rhonda Critchlow,"Senior Director, Operations",Director,9,,,https://www.linkedin.com/in/ACoAAAPnkHABhNZn2E3vND94WX058CUExMunuws,,"Therapeutic Strategy Head, Oncology & Hematology."
Ray McKiernan,Director,Director,25,,,https://www.linkedin.com/in/ACoAAAMjmqoBclPN0A8c0eE_CTzQvMzOX_p9om8,,"Director Resilience International
Guiding Organisations and Individuals Successfully through Challenge"
Bruno Waller,Director Operations Switzerland/Austria/export markets,Director,11,,,https://www.linkedin.com/in/ACoAAAScJywBCQks1S6MJOVsABI0IpevzIDAXZk,,Senior Sales & Key Account Leader / Executive Manager within Pharma/Biotech/Diagnostic
"Kelsey Morrow, MBA","Director, HR and Business Operations",Director,1,,81619341,https://www.linkedin.com/in/ACoAAA6P7CoBiq7_gsJQlzFiUrmRLK1ZVKl1Pno,,"Director, HR and Business Operations"
Jose M. Torres,Director of Technical Operations,Director,0,,81619341,https://www.linkedin.com/in/ACoAAAc_vOUBZNpAuDAkFuG6uL8UzyMntPfTTL8,,Director Technical Operations at CTMC / A joint venture between Resilience + MD Anderson Cancer Center
Skylar Groch,Head of Claims Operations,Director,0,,33317533,https://www.linkedin.com/in/ACoAABMrdOQBrexQchY5C-srABv5UB1FJIcutfQ,,"Head of Claims Operations, Resilience | Proactive Problem Solver | Process Implementation Specialist | Dedicated Team Le"
Noel Josephs,Head of Business Operations,Director,2,,100248368,https://www.linkedin.com/in/ACoAAALXm3wB_4XQQyavDB-_hsyaZm6tOwmaTYE,,Head of Business Operations
Yohanan Mali יוחנן מאלי,General Manager,Director,1,,17943162,https://www.linkedin.com/in/ACoAABhooMMBOCultBIX5qepQ32I-wHqawn5Rkk,,"General Manager - Ministry of the Negev, Galilee and National Resilience"
Otto Boucky,Head of Global Instrument Production,Director,2,,,https://www.linkedin.com/in/ACoAABrbfbYBmRHp8w-rsmCvCYPImjYmhi_d2n4,,Head of Global Instrument Production Miltenyi Biotec B.V. & Co. KG
"Heather De Guia Aguilar, MPA",Director of Operations,Director,1,,7955808,https://www.linkedin.com/in/ACoAAACQAzoBY1K1YRYgXEKlZD8KMrlvr-sO_J0,,Communications Leader | Director of Operations | Strategic Planning | Marketing | Writer
Ashleigh Cirilla,Operations Director,Director,1,,71133682,https://www.linkedin.com/in/ACoAAAEm06IBTGs0bJZ1IctnoX0r8JdeonWXBcw,,"Operations Director, ORRAA"
